,files,language,blank,comment,code,name
6,1,CSV,0,0,16,qrack
7,96,SUM,10101,6906,48512,qrack
0,61,C++,2475,1331,12483,qulacs
1,43,C,1205,1759,7029,qulacs
2,70,C/C++ Header,914,4803,3842,qulacs
3,7,CUDA,683,339,3019,qulacs
4,8,Markdown,543,0,2561,qulacs
5,3,CMake,179,118,697,qulacs
6,4,Python,124,1,668,qulacs
7,1,CSS,60,20,290,qulacs
8,3,HTML,7,28,230,qulacs
9,1,JavaScript,43,5,223,qulacs
10,2,YAML,30,14,153,qulacs
11,3,Bourne Shell,15,3,56,qulacs
12,8,DOS Batch,4,0,40,qulacs
13,214,SUM,6282,8421,31291,qulacs
0,119,Python,2951,4532,9880,OpenFermion-Cirq
1,6,Jupyter Notebook,0,4879,543,OpenFermion-Cirq
2,8,Bourne Again Shell,38,141,190,OpenFermion-Cirq
3,2,YAML,2,0,167,OpenFermion-Cirq
4,6,Bourne Shell,57,178,156,OpenFermion-Cirq
5,2,Markdown,21,0,145,OpenFermion-Cirq
6,3,reStructuredText,44,85,37,OpenFermion-Cirq
7,1,INI,5,0,13,OpenFermion-Cirq
8,1,make,5,6,13,OpenFermion-Cirq
9,1,SVG,0,0,2,OpenFermion-Cirq
10,149,SUM,3123,9821,11146,OpenFermion-Cirq
0,46,Python,1306,2329,4084,qmt
1,6,YAML,4,15,677,qmt
2,1,JSON,0,0,198,qmt
3,9,reStructuredText,96,143,106,qmt
4,2,Markdown,25,0,82,qmt
5,2,Bourne Shell,13,30,71,qmt
6,1,Jupyter Notebook,0,197,62,qmt
7,1,DOS Batch,8,1,27,qmt
8,1,make,4,6,10,qmt
9,1,HTML,0,0,1,qmt
10,70,SUM,1456,2721,5318,qmt
0,28,C#,559,68,3098,dotBloch
1,5,Unity-Prefab,0,0,2738,dotBloch
2,2,SVG,2,2,1920,dotBloch
3,3,JSON,0,0,419,dotBloch
4,1,Gradle,11,1,54,dotBloch
5,1,Markdown,4,0,10,dotBloch
6,40,SUM,576,71,8239,dotBloch
0,12,C++,1068,737,5306,qiskit-jku-provider
1,18,Python,309,456,1095,qiskit-jku-provider
2,13,C/C++ Header,300,262,631,qiskit-jku-provider
3,8,Markdown,94,0,166,qiskit-jku-provider
4,2,CMake,20,41,88,qiskit-jku-provider
5,1,DOS Batch,14,0,64,qiskit-jku-provider
6,1,YAML,6,4,23,qiskit-jku-provider
7,1,make,6,4,18,qiskit-jku-provider
8,1,TeX,0,0,7,qiskit-jku-provider
9,57,SUM,1817,1504,7398,qiskit-jku-provider
0,18,C++,676,712,4775,qflex
1,21,Python,591,883,1617,qflex
2,10,Markdown,195,0,685,qflex
3,14,C/C++ Header,213,647,519,qflex
4,5,Bourne Shell,81,43,358,qflex
5,1,m4,46,0,216,qflex
6,3,YAML,5,0,55,qflex
7,72,SUM,1807,2285,8225,qflex
0,42,C++,1201,851,8342,QCViewer
1,45,C/C++ Header,1223,1480,6017,QCViewer
2,14,TeX,353,1809,2852,QCViewer
3,6,yacc,107,135,808,QCViewer
4,8,Windows Module Definition,0,0,434,QCViewer
5,2,SVG,2,2,389,QCViewer
6,5,lex,62,95,224,QCViewer
7,7,Bourne Again Shell,32,17,112,QCViewer
8,1,Racket,5,0,102,QCViewer
9,6,make,8,2,38,QCViewer
10,1,Python,1,0,28,QCViewer
11,1,Bourne Shell,0,1,2,QCViewer
12,138,SUM,2994,4392,19348,QCViewer
0,168,Lisp,2680,2581,15776,qvm
1,7,Markdown,294,0,829,qvm
2,1,make,42,41,144,qvm
3,2,YAML,9,2,61,qvm
4,1,Python,9,10,50,qvm
5,3,Bourne Shell,10,6,48,qvm
6,182,SUM,3044,2640,16908,qvm
0,11,SVG,10,11,4899,quantum-mobile
1,24,Markdown,647,0,2172,quantum-mobile
2,17,YAML,175,81,932,quantum-mobile
3,1,INI,17,0,106,quantum-mobile
4,1,Python,15,14,35,quantum-mobile
5,1,JSON,0,0,21,quantum-mobile
6,2,Bourne Shell,1,4,15,quantum-mobile
7,1,make,4,6,10,quantum-mobile
8,58,SUM,869,116,8190,quantum-mobile
